local,marcador,ronda,temporada,visitante
Burnley,0 - 3,1,2023/2024,Man City
Arsenal,2 - 1,1,2023/2024,Nottm Forest
Bournemouth,1 - 1,1,2023/2024,West Ham
Brighton,4 - 1,1,2023/2024,Luton
Everton,0 - 1,1,2023/2024,Fulham
Sheff Utd,0 - 1,1,2023/2024,Crystal Palace
Newcastle,5 - 1,1,2023/2024,Aston Villa
Brentford,2 - 2,1,2023/2024,Tottenham
Chelsea,1 - 1,1,2023/2024,Liverpool
Man United,1 - 0,1,2023/2024,Wolves
Nottm Forest,2 - 1,2,2023/2024,Sheff Utd
Fulham,0 - 3,2,2023/2024,Brentford
Liverpool,3 - 1,2,2023/2024,Bournemouth
Wolves,1 - 4,2,2023/2024,Brighton
Tottenham,2 - 0,2,2023/2024,Man United
Man City,1 - 0,2,2023/2024,Newcastle
Aston Villa,4 - 0,2,2023/2024,Everton
West Ham,3 - 1,2,2023/2024,Chelsea
Crystal Palace,0 - 1,2,2023/2024,Arsenal
Chelsea,3 - 0,3,2023/2024,Luton
Bournemouth,0 - 2,3,2023/2024,Tottenham
Arsenal,2 - 2,3,2023/2024,Fulham
Brentford,1 - 1,3,2023/2024,Crystal Palace
Everton,0 - 1,3,2023/2024,Wolves
Man United,3 - 2,3,2023/2024,Nottm Forest
Brighton,1 - 3,3,2023/2024,West Ham
Burnley,1 - 3,3,2023/2024,Aston Villa
Sheff Utd,1 - 2,3,2023/2024,Man City
Newcastle,1 - 2,3,2023/2024,Liverpool
Luton,1 - 2,4,2023/2024,West Ham
Sheff Utd,2 - 2,4,2023/2024,Everton
Brentford,2 - 2,4,2023/2024,Bournemouth
Burnley,2 - 5,4,2023/2024,Tottenham
Chelsea,0 - 1,4,2023/2024,Nottm Forest
Man City,5 - 1,4,2023/2024,Fulham
Brighton,3 - 1,4,2023/2024,Newcastle
Crystal Palace,3 - 2,4,2023/2024,Wolves
Liverpool,3 - 0,4,2023/2024,Aston Villa
Arsenal,3 - 1,4,2023/2024,Man United
Wolves,1 - 3,5,2023/2024,Liverpool
Aston Villa,3 - 1,5,2023/2024,Crystal Palace
Fulham,1 - 0,5,2023/2024,Luton
Man United,1 - 3,5,2023/2024,Brighton
Tottenham,2 - 1,5,2023/2024,Sheff Utd
West Ham,1 - 3,5,2023/2024,Man City
Newcastle,1 - 0,5,2023/2024,Brentford
Bournemouth,0 - 0,5,2023/2024,Chelsea
Everton,0 - 1,5,2023/2024,Arsenal
Nottm Forest,1 - 1,5,2023/2024,Burnley
Crystal Palace,0 - 0,6,2023/2024,Fulham
Luton,1 - 1,6,2023/2024,Wolves
Man City,2 - 0,6,2023/2024,Nottm Forest
Brentford,1 - 3,6,2023/2024,Everton
Burnley,0 - 1,6,2023/2024,Man United
Arsenal,2 - 2,6,2023/2024,Tottenham
Brighton,3 - 1,6,2023/2024,Bournemouth
Chelsea,0 - 1,6,2023/2024,Aston Villa
Liverpool,3 - 1,6,2023/2024,West Ham
Sheff Utd,0 - 8,6,2023/2024,Newcastle
Aston Villa,6 - 1,7,2023/2024,Brighton
Bournemouth,0 - 4,7,2023/2024,Arsenal
Everton,1 - 2,7,2023/2024,Luton
Man United,0 - 1,7,2023/2024,Crystal Palace
Newcastle,2 - 0,7,2023/2024,Burnley
West Ham,2 - 0,7,2023/2024,Sheff Utd
Wolves,2 - 1,7,2023/2024,Man City
Tottenham,2 - 1,7,2023/2024,Liverpool
Nottm Forest,1 - 1,7,2023/2024,Brentford
Fulham,0 - 2,7,2023/2024,Chelsea
Luton,1 - 2,2,2023/2024,Burnley
Luton,0 - 1,8,2023/2024,Tottenham
Burnley,1 - 4,8,2023/2024,Chelsea
Everton,3 - 0,8,2023/2024,Bournemouth
Fulham,3 - 1,8,2023/2024,Sheff Utd
Man United,2 - 1,8,2023/2024,Brentford
Crystal Palace,0 - 0,8,2023/2024,Nottm Forest
Brighton,2 - 2,8,2023/2024,Liverpool
West Ham,2 - 2,8,2023/2024,Newcastle
Wolves,1 - 1,8,2023/2024,Aston Villa
Arsenal,1 - 0,8,2023/2024,Man City
Liverpool,2 - 0,9,2023/2024,Everton
Bournemouth,1 - 2,9,2023/2024,Wolves
Brentford,3 - 0,9,2023/2024,Burnley
Man City,2 - 1,9,2023/2024,Brighton
Newcastle,4 - 0,9,2023/2024,Crystal Palace
Nottm Forest,2 - 2,9,2023/2024,Luton
Chelsea,2 - 2,9,2023/2024,Arsenal
Sheff Utd,1 - 2,9,2023/2024,Man United
Aston Villa,4 - 1,9,2023/2024,West Ham
Tottenham,2 - 0,9,2023/2024,Fulham
Crystal Palace,1 - 2,10,2023/2024,Tottenham
Chelsea,0 - 2,10,2023/2024,Brentford
Bournemouth,2 - 1,10,2023/2024,Burnley
Arsenal,5 - 0,10,2023/2024,Sheff Utd
Wolves,2 - 2,10,2023/2024,Newcastle
West Ham,0 - 1,10,2023/2024,Everton
Aston Villa,3 - 1,10,2023/2024,Luton
Brighton,1 - 1,10,2023/2024,Fulham
Liverpool,3 - 0,10,2023/2024,Nottm Forest
Man United,0 - 3,10,2023/2024,Man City
Fulham,0 - 1,11,2023/2024,Man United
Brentford,3 - 2,11,2023/2024,West Ham
Burnley,0 - 2,11,2023/2024,Crystal Palace
Everton,1 - 1,11,2023/2024,Brighton
Man City,6 - 1,11,2023/2024,Bournemouth
Sheff Utd,2 - 1,11,2023/2024,Wolves
Newcastle,1 - 0,11,2023/2024,Arsenal
Nottm Forest,2 - 0,11,2023/2024,Aston Villa
Luton,1 - 1,11,2023/2024,Liverpool
Tottenham,1 - 4,11,2023/2024,Chelsea
Wolves,2 - 1,12,2023/2024,Tottenham
Arsenal,3 - 1,12,2023/2024,Burnley
Crystal Palace,2 - 3,12,2023/2024,Everton
Man United,1 - 0,12,2023/2024,Luton
Bournemouth,2 - 0,12,2023/2024,Newcastle
Aston Villa,3 - 1,12,2023/2024,Fulham
Brighton,1 - 1,12,2023/2024,Sheff Utd
Liverpool,3 - 0,12,2023/2024,Brentford
West Ham,3 - 2,12,2023/2024,Nottm Forest
Chelsea,4 - 4,12,2023/2024,Man City
Man City,1 - 1,13,2023/2024,Liverpool
Burnley,1 - 2,13,2023/2024,West Ham
Luton,2 - 1,13,2023/2024,Crystal Palace
Newcastle,4 - 1,13,2023/2024,Chelsea
Nottm Forest,2 - 3,13,2023/2024,Brighton
Sheff Utd,1 - 3,13,2023/2024,Bournemouth
Brentford,0 - 1,13,2023/2024,Arsenal
Tottenham,1 - 2,13,2023/2024,Aston Villa
Everton,0 - 3,13,2023/2024,Man United
Fulham,3 - 2,13,2023/2024,Wolves
Arsenal,2 - 1,14,2023/2024,Wolves
Brentford,3 - 1,14,2023/2024,Luton
Burnley,5 - 0,14,2023/2024,Sheff Utd
Nottm Forest,0 - 1,14,2023/2024,Everton
Newcastle,1 - 0,14,2023/2024,Man United
Bournemouth,2 - 2,14,2023/2024,Aston Villa
Chelsea,3 - 2,14,2023/2024,Brighton
Liverpool,4 - 3,14,2023/2024,Fulham
West Ham,1 - 1,14,2023/2024,Crystal Palace
Man City,3 - 3,14,2023/2024,Tottenham
Wolves,1 - 0,15,2023/2024,Burnley
Luton,3 - 4,15,2023/2024,Arsenal
Brighton,2 - 1,15,2023/2024,Brentford
Crystal Palace,0 - 2,15,2023/2024,Bournemouth
Fulham,5 - 0,15,2023/2024,Nottm Forest
Sheff Utd,0 - 2,15,2023/2024,Liverpool
Aston Villa,1 - 0,15,2023/2024,Man City
Man United,2 - 1,15,2023/2024,Chelsea
Everton,3 - 0,15,2023/2024,Newcastle
Tottenham,1 - 2,15,2023/2024,West Ham
Crystal Palace,1 - 2,16,2023/2024,Liverpool
Brighton,1 - 1,16,2023/2024,Burnley
Man United,0 - 3,16,2023/2024,Bournemouth
Sheff Utd,1 - 0,16,2023/2024,Brentford
Wolves,1 - 1,16,2023/2024,Nottm Forest
Aston Villa,1 - 0,16,2023/2024,Arsenal
Everton,2 - 0,16,2023/2024,Chelsea
Fulham,5 - 0,16,2023/2024,West Ham
Luton,1 - 2,16,2023/2024,Man City
Tottenham,4 - 1,16,2023/2024,Newcastle
Nottm Forest,0 - 2,17,2023/2024,Tottenham
Bournemouth,Pospuesto,17,2023/2024,Luton
Chelsea,2 - 0,17,2023/2024,Sheff Utd
Man City,2 - 2,17,2023/2024,Crystal Palace
Newcastle,3 - 0,17,2023/2024,Fulham
Burnley,0 - 2,17,2023/2024,Everton
Arsenal,2 - 0,17,2023/2024,Brighton
Brentford,1 - 2,17,2023/2024,Aston Villa
West Ham,3 - 0,17,2023/2024,Wolves
Liverpool,0 - 0,17,2023/2024,Man United
Crystal Palace,1 - 1,18,2023/2024,Brighton
Aston Villa,1 - 1,18,2023/2024,Sheff Utd
West Ham,2 - 0,18,2023/2024,Man United
Fulham,0 - 2,18,2023/2024,Burnley
Luton,1 - 0,18,2023/2024,Newcastle
Nottm Forest,2 - 3,18,2023/2024,Bournemouth
Tottenham,2 - 1,18,2023/2024,Everton
Liverpool,1 - 1,18,2023/2024,Arsenal
Wolves,2 - 1,18,2023/2024,Chelsea
Newcastle,1 - 3,19,2023/2024,Nottm Forest
Bournemouth,3 - 0,19,2023/2024,Fulham
Sheff Utd,2 - 3,19,2023/2024,Luton
Burnley,0 - 2,19,2023/2024,Liverpool
Man United,3 - 2,19,2023/2024,Aston Villa
Brentford,1 - 4,19,2023/2024,Wolves
Chelsea,2 - 1,19,2023/2024,Crystal Palace
Everton,1 - 3,19,2023/2024,Man City
Brighton,4 - 2,19,2023/2024,Tottenham
Arsenal,0 - 2,19,2023/2024,West Ham
Luton,2 - 3,20,2023/2024,Chelsea
Aston Villa,3 - 2,20,2023/2024,Burnley
Crystal Palace,3 - 1,20,2023/2024,Brentford
Man City,2 - 0,20,2023/2024,Sheff Utd
Wolves,3 - 0,20,2023/2024,Everton
Nottm Forest,2 - 1,20,2023/2024,Man United
Fulham,2 - 1,20,2023/2024,Arsenal
Tottenham,3 - 1,20,2023/2024,Bournemouth
Liverpool,4 - 2,20,2023/2024,Newcastle
West Ham,0 - 0,20,2023/2024,Brighton
Burnley,1 - 1,21,2023/2024,Luton
Chelsea,1 - 0,21,2023/2024,Fulham
Newcastle,2 - 3,21,2023/2024,Man City
Everton,0 - 0,21,2023/2024,Aston Villa
Man United,2 - 2,21,2023/2024,Tottenham
Arsenal,5 - 0,21,2023/2024,Crystal Palace
Brentford,3 - 2,21,2023/2024,Nottm Forest
Sheff Utd,2 - 2,21,2023/2024,West Ham
Bournemouth,0 - 4,21,2023/2024,Liverpool
Brighton,0 - 0,21,2023/2024,Wolves
Nottm Forest,1 - 2,22,2023/2024,Arsenal
