empates,equipo,ganados,jornadas,perdidos,posicion,puntos
5,Arsenal,22,31,4,1,71
8,Liverpool,21,31,2,2,71
7,Manchester City,21,31,3,3,70
6,Tottenham Hotspur,18,31,7,4,60
6,Aston Villa,18,32,8,5,60
4,Manchester United,15,31,12,6,49
9,West Ham United,13,32,10,7,48
5,Newcastle United,14,31,12,8,47
8,Chelsea,12,30,10,9,44
10,Brighton & Hove Albion,11,31,10,10,43
6,Wolverhampton Wanderers,12,31,13,11,42
8,AFC Bournemouth,11,31,12,12,41
6,Fulham,11,32,15,13,39
9,Crystal Palace,7,31,15,14,30
8,Brentford,7,32,17,15,29
8,Everton,9,31,14,16,27
8,Nottingham Forest,7,32,17,17,25
7,Luton Town,6,32,19,18,25
7,Burnley,4,32,21,19,19
7,Sheffield United,3,31,21,20,16
