local,marcador,ronda,temporada,visitante
Brentford,2 - 0,1,2021/2022,Arsenal
Man United,5 - 1,1,2021/2022,Leeds
Burnley,1 - 2,1,2021/2022,Brighton
Chelsea,3 - 0,1,2021/2022,Crystal Palace
Everton,3 - 1,1,2021/2022,Southampton
Leicester,1 - 0,1,2021/2022,Wolves
Watford,3 - 2,1,2021/2022,Aston Villa
Norwich,0 - 3,1,2021/2022,Liverpool
Newcastle,2 - 4,1,2021/2022,West Ham
Tottenham,1 - 0,1,2021/2022,Man City
Liverpool,2 - 0,2,2021/2022,Burnley
Aston Villa,2 - 0,2,2021/2022,Newcastle
Crystal Palace,0 - 0,2,2021/2022,Brentford
Leeds,2 - 2,2,2021/2022,Everton
Man City,5 - 0,2,2021/2022,Norwich
Brighton,2 - 0,2,2021/2022,Watford
Southampton,1 - 1,2,2021/2022,Man United
Wolves,0 - 1,2,2021/2022,Tottenham
Arsenal,0 - 2,2,2021/2022,Chelsea
West Ham,4 - 1,2,2021/2022,Leicester
Man City,5 - 0,3,2021/2022,Arsenal
Aston Villa,1 - 1,3,2021/2022,Brentford
Brighton,0 - 2,3,2021/2022,Everton
Newcastle,2 - 2,3,2021/2022,Southampton
Norwich,1 - 2,3,2021/2022,Leicester
West Ham,2 - 2,3,2021/2022,Crystal Palace
Liverpool,1 - 1,3,2021/2022,Chelsea
Burnley,1 - 1,3,2021/2022,Leeds
Tottenham,1 - 0,3,2021/2022,Watford
Wolves,0 - 1,3,2021/2022,Man United
Crystal Palace,3 - 0,4,2021/2022,Tottenham
Arsenal,1 - 0,4,2021/2022,Norwich
Brentford,0 - 1,4,2021/2022,Brighton
Leicester,0 - 1,4,2021/2022,Man City
Man United,4 - 1,4,2021/2022,Newcastle
Southampton,0 - 0,4,2021/2022,West Ham
Watford,0 - 2,4,2021/2022,Wolves
Chelsea,3 - 0,4,2021/2022,Aston Villa
Leeds,0 - 3,4,2021/2022,Liverpool
Everton,3 - 1,4,2021/2022,Burnley
Newcastle,1 - 1,5,2021/2022,Leeds
Wolves,0 - 2,5,2021/2022,Brentford
Burnley,0 - 1,5,2021/2022,Arsenal
Liverpool,3 - 0,5,2021/2022,Crystal Palace
Man City,0 - 0,5,2021/2022,Southampton
Norwich,1 - 3,5,2021/2022,Watford
Aston Villa,3 - 0,5,2021/2022,Everton
Brighton,2 - 1,5,2021/2022,Leicester
West Ham,1 - 2,5,2021/2022,Man United
Tottenham,0 - 3,5,2021/2022,Chelsea
Chelsea,0 - 1,6,2021/2022,Man City
Man United,0 - 1,6,2021/2022,Aston Villa
Everton,2 - 0,6,2021/2022,Norwich
Leeds,1 - 2,6,2021/2022,West Ham
Leicester,2 - 2,6,2021/2022,Burnley
Watford,1 - 1,6,2021/2022,Newcastle
Brentford,3 - 3,6,2021/2022,Liverpool
Southampton,0 - 1,6,2021/2022,Wolves
Arsenal,3 - 1,6,2021/2022,Tottenham
Crystal Palace,1 - 1,6,2021/2022,Brighton
Man United,1 - 1,7,2021/2022,Everton
Burnley,0 - 0,7,2021/2022,Norwich
Chelsea,3 - 1,7,2021/2022,Southampton
Leeds,1 - 0,7,2021/2022,Watford
Wolves,2 - 1,7,2021/2022,Newcastle
Brighton,0 - 0,7,2021/2022,Arsenal
Crystal Palace,2 - 2,7,2021/2022,Leicester
Tottenham,2 - 1,7,2021/2022,Aston Villa
West Ham,1 - 2,7,2021/2022,Brentford
Liverpool,2 - 2,7,2021/2022,Man City
Watford,0 - 5,8,2021/2022,Liverpool
Aston Villa,2 - 3,8,2021/2022,Wolves
Leicester,4 - 2,8,2021/2022,Man United
Man City,2 - 0,8,2021/2022,Burnley
Norwich,0 - 0,8,2021/2022,Brighton
Southampton,1 - 0,8,2021/2022,Leeds
Brentford,0 - 1,8,2021/2022,Chelsea
Everton,0 - 1,8,2021/2022,West Ham
Newcastle,2 - 3,8,2021/2022,Tottenham
Arsenal,2 - 2,8,2021/2022,Crystal Palace
Arsenal,3 - 1,9,2021/2022,Aston Villa
Chelsea,7 - 0,9,2021/2022,Norwich
Crystal Palace,1 - 1,9,2021/2022,Newcastle
Everton,2 - 5,9,2021/2022,Watford
Leeds,1 - 1,9,2021/2022,Wolves
Southampton,2 - 2,9,2021/2022,Burnley
Brighton,1 - 4,9,2021/2022,Man City
Brentford,1 - 2,9,2021/2022,Leicester
West Ham,1 - 0,9,2021/2022,Tottenham
